,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,104.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,102.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,101.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,99.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,98.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,97.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,96.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,95.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,94.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,93.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period,I_new,I,I/population,A(not tp),tp,A,I/(I+A),I_total/population,period
2013-03,0,0.0,0.0,3,0,3,0.4,0.021739130434782608,0.6,0,0.0,0.0,1,0,1,0.5,0.010869565217391304,0.6,0,0.0,0.0,0,0,0,1.0,0.021739130434782608,0.6,0,0.0,0.0,1,0,1,0.6666666666666666,0.021739130434782608,0.6,0,0.0,0.0,3,0,3,0.8235294117647058,0.15217391304347827,0.6,0,0.0,0.0,0,1,1,0.8,0.043478260869565216,0.6,0,0.0,0.0,3,0,3,0.625,0.05434782608695652,0.6,0,0.0,0.0,1,0,1,0.8,0.043478260869565216,0.9,0,0.0,0.0,1,0,1,0.6666666666666666,0.021739130434782608,0.4,0,0.0,0.0,2,0,2,0.3333333333333333,0.010869565217391304,0.6,1,1.0,0.010869565217391304,1,1,2,0.9428571428571428,0.358695652173913,0.6,0,0.0,0.0,0,0,0,1.0,0.043478260869565216,0.6,0,0.0,0.0,1,0,1,0.6666666666666666,0.021739130434782608,0.6,1,1.0,0.00036231884057971015,17,2,19,0.8,0.02753623188405797,0.6
2013-04,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.8333333333333334,0.009057971014492754,,,,,,,1,1.0,0.010869565217391304,,,,,,,0,0.0,0.0,,,,,,,1,1.8333333333333335,0.0006642512077294686,,,,,,
2013-05,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,1,1.0,0.010869565217391304,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.6944444444444445,0.007548309178743962,,,,,,,0,0.8333333333333334,0.009057971014492754,,,,,,,0,0.0,0.0,,,,,,,1,2.527777777777778,0.0009158615136876007,,,,,,
2013-06,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,2,2.0,0.021739130434782608,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,0,0.8333333333333334,0.009057971014492754,,,,,,,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,7,7.578703703703704,0.08237721417069244,,,,,,,1,1.6944444444444446,0.018417874396135268,,,,,,,0,0.0,0.0,,,,,,,10,12.106481481481483,0.004386406333870102,,,,,,
2013-07,0,0.0,0.0,,,,,,,0,0.0,0.0,,,,,,,1,1.0,0.010869565217391304,,,,,,,0,0.0,0.0,,,,,,,2,3.666666666666667,0.03985507246376812,,,,,,,2,2.0,0.021739130434782608,,,,,,,0,0.0,0.0,,,,,,,0,0.6944444444444445,0.007548309178743962,,,,,,,1,1.0,0.010869565217391304,,,,,,,0,0.0,0.0,,,,,,,3,9.315586419753085,0.10125637412775093,,,,,,,0,1.4120370370370372,0.015348228663446057,,,,,,,0,0.0,0.0,,,,,,,9,19.088734567901234,0.006916208176775809,,,,,,
2013-08,2,2.0,0.021739130434782608,,,,,,,0,0.0,0.0,,,,,,,0,0.8333333333333334,0.009057971014492754,,,,,,,2,2.0,0.021739130434782608,,,,,,,0,3.055555555555556,0.03321256038647343,,,,,,,2,3.666666666666667,0.03985507246376812,,,,,,,0,0.0,0.0,,,,,,,0,0.5787037037037038,0.006290257648953302,,,,,,,1,1.8333333333333335,0.01992753623188406,,,,,,,0,0.0,0.0,,,,,,,10,17.76298868312757,0.1930759639470388,,,,,,,0,1.1766975308641976,0.012790190552871714,,,,,,,1,1.0,0.010869565217391304,,,,,,,18,33.907278806584365,0.012285245944414625,,,,,,
2013-09,0,1.6666666666666667,0.018115942028985508,,,,,,,0,0.0,0.0,,,,,,,0,0.6944444444444445,0.007548309178743962,,,,,,,0,1.6666666666666667,0.018115942028985508,,,,,,,3,5.546296296296296,0.060285829307568435,,,,,,,0,3.055555555555556,0.03321256038647343,,,,,,,2,2.0,0.021739130434782608,,,,,,,1,1.4822530864197532,0.016111446591519057,,,,,,,0,1.527777777777778,0.016606280193236716,,,,,,,1,1.0,0.010869565217391304,,,,,,,9,23.802490569272976,0.25872272357905407,,,,,,,1,1.9805812757201648,0.021528057344784402,,,,,,,0,0.8333333333333334,0.009057971014492754,,,,,,,17,45.25606567215364,0.016397125243533928,,,,,,
2013-10,0,1.388888888888889,0.015096618357487924,,,,,,,1,1.0,0.010869565217391304,,,,,,,1,1.5787037037037037,0.017159822866344605,,,,,,,0,1.388888888888889,0.015096618357487924,,,,,,,6,10.621913580246915,0.1154555823939882,,,,,,,0,2.5462962962962963,0.027677133655394526,,,,,,,3,4.666666666666667,0.050724637681159424,,,,,,,2,3.2352109053497946,0.03516533592771516,,,,,,,0,1.2731481481481481,0.013838566827697263,,,,,,,0,0.8333333333333334,0.009057971014492754,,,,,,,3,22.83540880772748,0.24821096530138564,,,,,,,1,2.6504843964334706,0.028809613004711635,,,,,,,0,0.6944444444444445,0.007548309178743962,,,,,,,17,54.713388060128025,0.019823691326133343,,,,,,
